date,facility,region,orders,order_lines,labor_hours,on_time_dispatch_pct,pick_accuracy_pct,inventory_accuracy_pct,dock_to_stock_hours,space_utilization_pct,late_inbound_pct,cost_per_order
2026-08-01,Eastport DC,Sydney,1184,4026,356,91.2,98.42,96.8,8.6,92.1,18.4,8.92
2026-08-02,Eastport DC,Sydney,1098,3714,338,92.0,98.55,96.9,8.1,91.8,17.1,8.74
2026-08-03,Eastport DC,Sydney,1267,4388,372,89.6,98.31,96.5,9.4,93.0,21.3,9.18
2026-08-04,Eastport DC,Sydney,1311,4520,381,88.9,98.18,96.4,10.2,94.2,23.6,9.43
2026-08-05,Eastport DC,Sydney,1294,4461,378,89.4,98.27,96.6,9.8,94.6,22.9,9.37
2026-08-06,Eastport DC,Sydney,1238,4218,365,90.1,98.34,96.7,9.1,93.9,20.8,9.11
2026-08-07,Eastport DC,Sydney,1167,3940,349,91.8,98.49,96.9,8.3,92.7,17.9,8.83
2026-08-08,Eastport DC,Sydney,1202,4112,358,90.7,98.38,96.8,8.9,93.3,19.6,9.02
2026-08-09,Eastport DC,Sydney,1126,3817,341,92.3,98.62,97.1,7.8,91.5,16.2,8.61
2026-08-10,Eastport DC,Sydney,1338,4635,389,87.8,98.05,96.2,11.4,95.1,26.8,9.78
2026-08-11,Eastport DC,Sydney,1372,4762,397,86.9,97.94,96.0,12.1,95.8,28.4,10.02
2026-08-12,Eastport DC,Sydney,1351,4684,394,87.4,98.01,96.1,11.8,95.5,27.6,9.91
2026-08-13,Eastport DC,Sydney,1288,4428,379,88.7,98.16,96.4,10.6,94.8,24.3,9.55
2026-08-14,Eastport DC,Sydney,1214,4137,361,90.4,98.36,96.7,9.2,93.6,20.1,9.09
2026-08-15,Eastport DC,Sydney,1179,3986,352,91.5,98.47,96.9,8.5,92.8,18.0,8.87
2026-08-16,Eastport DC,Sydney,1108,3749,337,92.6,98.66,97.2,7.6,91.2,15.8,8.52
2026-08-17,Eastport DC,Sydney,1326,4591,386,88.1,98.08,96.3,11.1,95.0,25.9,9.69
2026-08-18,Eastport DC,Sydney,1394,4863,405,86.4,97.88,95.9,12.7,96.2,29.7,10.19
2026-08-19,Eastport DC,Sydney,1412,4926,411,85.8,97.79,95.8,13.2,96.7,31.2,10.34
2026-08-20,Eastport DC,Sydney,1368,4741,398,87.1,97.96,96.0,12.0,95.9,28.1,10.01
2026-08-21,Eastport DC,Sydney,1274,4389,375,89.0,98.21,96.5,10.3,94.5,23.5,9.48
2026-08-22,Eastport DC,Sydney,1191,4048,355,91.1,98.44,96.8,8.7,93.0,18.8,8.94
2026-08-23,Eastport DC,Sydney,1117,3782,339,92.4,98.63,97.1,7.7,91.4,16.0,8.57
2026-08-24,Eastport DC,Sydney,1307,4506,383,88.5,98.12,96.3,10.8,94.9,24.9,9.61
2026-08-25,Eastport DC,Sydney,1381,4809,402,86.7,97.91,95.9,12.5,96.0,29.1,10.12
2026-08-26,Eastport DC,Sydney,1346,4668,392,87.6,98.03,96.1,11.6,95.4,27.0,9.86
2026-08-27,Eastport DC,Sydney,1261,4327,371,89.3,98.24,96.5,10.0,94.3,23.0,9.41
2026-08-28,Eastport DC,Sydney,1188,4019,354,91.3,98.46,96.9,8.4,92.6,18.2,8.89
